Axial_load,Confining_Pressure,Displesment,Pore_Pressure
20.820,62.800,6.632,3.780
20.710,63.570,6.654,3.990
20.830,63.710,6.681,4.100
20.690,63.090,6.706,3.990
20.760,63.520,6.732,3.990
20.830,63.620,6.758,4.100
20.480,62.750,6.785,3.990
20.620,63.090,6.810,4.040
20.750,63.520,6.834,3.990
20.740,63.090,6.863,3.990
20.450,63.470,6.887,4.040
20.780,63.190,6.914,4.040
20.880,63.660,6.939,4.040
20.810,63.380,6.965,3.940
20.870,63.430,6.991,3.990
21.010,63.470,7.017,3.940
21.080,63.570,7.044,3.990
21.100,62.710,7.070,3.880
21.120,63.520,7.095,3.940
21.290,63.570,7.121,3.990
21.320,63.660,7.148,3.990
21.140,63.430,7.173,3.990
21.260,63.470,7.197,3.990
21.360,63.520,7.225,3.990
21.380,63.620,7.250,3.990
21.160,62.800,7.277,3.940
21.340,62.950,7.301,3.990
21.230,63.140,7.327,3.990
21.280,63.230,7.354,3.990
21.290,63.470,7.380,3.990
21.380,63.280,7.406,4.100
21.340,63.470,7.433,3.940
21.340,63.570,7.458,3.880
21.300,62.510,7.485,3.670
21.140,63.470,7.510,4.100
21.160,62.710,7.535,3.830
20.970,62.950,7.562,3.990
21.190,63.330,7.588,3.880
21.370,62.950,7.613,3.830
21.370,63.470,7.637,3.990
21.320,62.180,7.664,3.560
21.330,63.760,7.690,4.200
21.410,63.280,7.715,3.990
21.550,63.710,7.739,4.040
21.310,62.710,7.766,3.940
21.310,62.800,7.790,3.940
21.180,62.900,7.817,3.940
21.180,62.950,7.840,3.880
21.340,62.990,7.865,3.990
21.280,63.040,7.892,3.990
21.410,63.190,7.919,3.940
21.400,63.230,7.945,3.990
21.380,63.280,7.970,3.880
21.440,63.380,7.996,3.940
21.340,63.430,8.024,3.940
21.390,63.520,8.046,3.880
21.480,63.570,8.073,3.990
21.540,62.610,8.103,3.830
21.290,62.900,8.124,3.880
21.380,63.230,8.150,3.880
21.450,62.800,8.176,3.830
21.190,63.380,8.201,3.940
21.510,63.470,8.229,3.940
21.420,63.620,8.252,3.940
21.260,62.710,8.281,3.940
21.230,62.660,8.304,3.940
20.990,62.320,8.337,3.670
21.050,63.230,8.360,4.100
21.140,63.190,8.386,3.990
21.220,63.330,8.409,3.940
21.260,63.520,8.437,3.940
21.390,63.090,8.461,3.720
21.440,63.280,8.490,3.940
21.380,63.380,8.514,3.940
21.330,63.430,8.540,3.990
21.510,63.470,8.565,3.990
21.570,63.570,8.592,3.940
21.490,63.620,8.620,3.940
21.200,62.900,8.659,3.880
21.250,63.040,8.685,3.880
21.410,63.090,8.711,3.940
21.510,63.140,8.736,3.990
21.510,63.230,8.760,3.940
21.610,63.230,8.789,3.940
21.620,63.280,8.816,3.940
21.630,63.380,8.841,3.940
21.590,63.430,8.867,3.940
21.660,63.470,8.894,3.940
21.720,63.570,8.919,3.940
21.750,62.420,8.947,3.560
21.590,63.330,8.973,3.940
21.770,63.430,9.000,4.040
21.780,63.520,9.024,3.990
21.800,63.520,9.050,3.940
21.820,63.620,9.076,3.830
21.600,63.380,9.102,3.880
21.870,63.470,9.128,3.940
21.850,63.570,9.151,3.940
21.780,63.430,9.180,3.880
21.900,63.620,9.206,3.940
21.930,63.040,9.232,3.940
21.960,63.090,9.257,3.990
21.980,63.190,9.283,3.940
22.080,63.230,9.310,3.880
22.050,63.330,9.336,3.940
22.050,63.330,9.361,3.940
22.130,63.380,9.380,3.880
22.120,63.520,9.413,3.940
22.270,63.620,9.440,3.940
22.320,62.510,9.466,3.720
22.170,62.990,9.492,3.940
22.190,63.040,9.519,3.880
22.190,63.140,9.546,3.880
22.140,63.190,9.570,3.940
22.230,63.230,9.596,3.990
22.200,63.330,9.621,3.940
22.240,63.380,9.648,3.830
22.280,63.430,9.674,3.880
22.300,63.470,9.699,3.940
22.260,63.520,9.726,3.880
22.320,63.570,9.752,3.940
22.230,63.620,9.780,3.940
22.300,63.520,9.802,3.940
22.330,63.570,9.829,3.940
22.380,63.620,9.857,3.990
22.300,63.090,9.884,3.940
22.330,63.230,9.908,3.880
22.490,63.230,9.933,3.940
22.520,63.280,9.959,3.940
22.540,63.330,9.985,3.880
22.360,63.380,10.012,3.830
22.540,63.470,10.039,3.880
22.590,63.470,10.065,3.940
22.630,63.620,10.088,3.880
22.510,63.280,10.115,3.990
22.520,62.750,10.141,3.830
22.440,62.900,10.166,3.880
22.600,62.950,10.193,3.940
22.610,63.040,10.217,3.940
22.570,63.090,10.241,3.880
22.590,63.230,10.270,3.880
22.660,63.330,10.295,3.940
22.750,63.470,10.319,3.880
22.840,63.620,10.345,3.940
22.680,63.090,10.371,3.880
22.830,63.190,10.397,3.880
22.850,63.330,10.422,3.940
22.830,63.330,10.448,3.940
22.910,63.430,10.476,3.880
22.940,63.430,10.501,3.880
22.950,63.430,10.526,3.880
22.960,63.520,10.553,3.880
23.080,63.620,10.579,3.880
22.950,63.280,10.608,4.100
22.920,63.430,10.631,4.040
