Axial_load,Confining_Pressure,Displesment,Pore_Pressure
16.870,82.350,19.093,12.820
16.860,82.110,19.133,12.770
16.670,82.200,19.183,12.770
16.550,82.160,19.202,12.710
16.730,82.590,19.231,12.870
16.470,81.920,19.255,12.820
16.650,82.400,19.280,12.820
16.720,82.780,19.307,12.820
16.710,83.110,19.334,12.770
16.830,83.400,19.361,12.770
16.670,81.960,19.386,12.390
16.910,82.350,19.413,12.820
16.870,82.110,19.439,12.820
16.860,82.250,19.465,12.710
16.670,82.010,19.490,12.770
16.750,82.440,19.514,12.870
16.900,82.110,19.539,12.710
16.910,82.400,19.565,12.820
16.880,81.960,19.592,12.820
16.980,82.400,19.617,12.820
16.950,82.110,19.645,12.820
16.990,81.960,19.671,12.710
17.100,82.160,19.697,12.870
17.140,82.490,19.723,12.820
17.120,82.250,19.749,12.820
17.260,82.440,19.774,12.870
17.200,82.160,19.800,12.710
17.360,82.540,19.825,12.870
17.320,82.060,19.851,12.820
17.360,82.440,19.876,12.820
17.380,82.060,19.902,12.870
17.380,82.250,19.929,12.770
17.360,82.400,19.954,12.770
17.360,81.960,19.980,12.820
17.350,82.350,20.006,12.870
17.410,82.160,20.031,12.710
17.440,82.440,20.058,12.820
17.400,82.010,20.082,12.870
17.410,82.350,20.110,12.870
17.540,82.730,20.136,12.820
17.470,82.400,20.162,12.770
17.510,82.110,20.187,12.550
17.540,82.590,20.214,12.820
17.420,82.880,20.242,12.770
17.440,83.210,20.265,12.820
17.640,83.450,20.292,12.820
17.440,82.970,20.321,12.770
17.360,83.350,20.345,12.820
17.290,82.160,20.369,12.340
17.440,82.400,20.395,12.770
17.640,82.200,20.425,12.610
17.510,83.020,20.449,12.770
17.700,83.400,20.475,12.820
17.750,82.300,20.502,12.500
17.620,82.300,20.528,12.870
17.690,82.680,20.553,12.770
17.870,83.070,20.578,12.870
17.920,83.400,20.603,12.710
18.020,82.440,20.632,12.390
17.920,81.920,20.658,12.660
18.030,82.350,20.684,12.820
17.930,82.730,20.709,12.770
17.850,82.110,20.735,12.820
17.960,82.440,20.761,12.820
17.920,81.820,20.789,12.550
17.890,82.490,20.813,12.870
17.960,81.870,20.837,12.660
18.040,82.350,20.864,12.870
18.020,82.680,20.891,12.820
17.980,81.960,20.915,12.820
18.110,82.400,20.943,12.770
18.160,82.160,20.968,12.710
18.250,82.010,20.995,12.770
18.080,82.400,21.021,12.820
18.160,82.730,21.047,12.820
18.040,82.540,21.074,12.820
18.080,82.200,21.098,12.820
18.050,82.200,21.125,12.710
18.150,82.440,21.151,12.870
18.080,82.160,21.177,12.550
18.200,82.590,21.202,12.820
18.160,82.350,21.228,12.820
18.150,82.540,21.254,12.770
18.260,82.060,21.279,12.770
18.230,82.400,21.306,12.770
18.320,82.440,21.331,12.820
18.490,82.350,21.358,12.820
18.440,82.160,21.384,12.820
18.420,82.590,21.409,12.770
18.520,82.400,21.436,12.770
18.690,82.110,21.463,12.820
18.710,82.440,21.488,12.820
18.560,82.160,21.512,12.770
18.640,82.200,21.539,12.770
18.700,81.820,21.566,12.660
18.650,82.160,21.593,12.770
18.590,81.920,21.619,12.710
18.520,82.300,21.643,12.820
18.480,81.960,21.668,12.770
18.380,82.300,21.696,12.870
18.520,81.870,21.721,12.820
18.300,82.250,21.754,12.820
18.360,82.250,21.805,12.770
18.410,82.490,21.826,12.820
18.080,81.920,21.855,12.820
18.140,82.250,21.879,12.820
18.240,82.640,21.904,12.770
18.480,82.400,21.931,12.820
18.590,82.060,21.959,12.710
18.630,82.350,21.984,12.820
18.610,81.870,22.010,12.820
18.650,82.250,22.035,12.770
18.790,82.540,22.063,12.820
18.700,82.010,22.088,12.820
18.770,82.350,22.115,12.820
18.750,82.680,22.139,12.770
18.900,82.920,22.166,12.820
18.800,83.260,22.193,12.770
18.770,83.550,22.219,12.820
18.830,82.300,22.245,12.710
18.870,82.250,22.270,12.710
18.750,82.300,22.298,12.820
18.630,82.440,22.328,12.820
18.480,82.010,22.349,12.820
18.550,82.350,22.376,12.770
18.450,82.640,22.402,12.820
18.460,81.960,22.426,12.820
18.410,82.300,22.453,12.770
18.360,81.680,22.477,12.500
18.460,82.110,22.503,12.770
18.430,82.400,22.530,12.820
18.480,82.680,22.555,12.770
18.420,82.200,22.582,12.820
18.480,82.300,22.605,12.710
18.560,82.590,22.634,12.770
18.450,82.060,22.659,12.820
18.590,82.490,22.683,12.770
18.720,82.060,22.709,12.660
18.590,82.300,22.735,12.820
18.680,82.250,22.760,12.710
18.770,81.770,22.785,12.610
18.790,82.160,22.811,12.770
